School Code,School Name,Physical Address,Physical City,Physical State,Physical Zipcode,Phone,Lowest Grade,Highest Grade,School Type,District Code,District Name,District Size,District Setting
7565,ST. VRAIN COMMUNITY MONTESSORI SCHOOL,1067 SOUTH HOVER ST PMB E235,LONGMONT,CO,80501,3036824339,Preschool,7th Grade,Elementary  ,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
7584,SANBORN ELEMENTARY SCHOOL,2235 VIVIAN STREET,LONGMONT,CO,80501,3037723838,Preschool,5th Grade,Elementary  ,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
7789,SILVER CREEK HIGH SCHOOL,4901 NELSON ROAD,LONGMONT,CO,80503,7204943721,9th Grade,12th Grade,High,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
7839,ST. VRAIN GLOBAL ONLINE ACADEMY,1200 SOUTH SUNSET STREET,LONGMONT,CO,80501,3035918627,9th Grade,12th Grade,High,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
7954,SKYLINE HIGH SCHOOL,600 EAST MOUNTAIN VIEW,LONGMONT,CO,80501,7204943741,9th Grade,12th Grade,High,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
8903,TRAIL RIDGE MIDDLE SCHOOL,1000 BUTTON ROCK DRIVE,LONGMONT,CO,80501,7204943820,6th Grade,8th Grade,Middle ,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
8927,TWIN PEAKS CHARTER ACADEMY,340 SOUTH SUNSET STREET,LONGMONT,CO,80501,3037727286,1/2 Day Kindergarten,12th Grade,High,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
9430,WESTVIEW MIDDLE SCHOOL,1651 AIRPORT ROAD,LONGMONT,CO,80503,3037723134,6th Grade,8th Grade,Middle ,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
0125,ARAPAHOE RIDGE HIGH SCHOOL,6600 ARAPAHOE AVENUE,BOULDER,CO,80303,7205615220,9th Grade,12th Grade,High,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
0441,ASPEN CREEK K-8 SCHOOL,5500 ASPEN CREEK DRIVE,BROOMFIELD,CO,80020,7205618000,Preschool,8th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
0652,BEAR CREEK ELEMENTARY SCHOOL,2500 TABLE MESA DRIVE,BOULDER,CO,80305,7205613500,1/2 Day Kindergarten,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
0866,BOULDER EXPLORE,6500 ARAPAHOE AVE,BOULDER,CO,80303,3035616253,1/2 Day Kindergarten,12th Grade,High,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
0872,BIRCH ELEMENTARY SCHOOL,1035 BIRCH,BROOMFIELD,CO,80020,7205618800,Preschool,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
0919,BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,3995 EAST AURORA AVENUE,BOULDER,CO,80303,7205616500,1/2 Day Kindergarten,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
0924,BOULDER HIGH SCHOOL,1604 ARAPAHOE AVENUE,BOULDER,CO,80302,7205612200,9th Grade,12th Grade,High,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
0930,BOULDER UNIVERSAL,6500 EAST ARAPAHOE ROAD,BOULDER,CO,80303,7205616253,1/2 Day Kindergarten,12th Grade,High,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
0934,BOULDER PREP CHARTER HIGH SCHOOL,5075 CHAPARRAL COURT #1,BOULDER,CO,80301,3035456186,9th Grade,12th Grade,High,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
1066,BROOMFIELD HEIGHTS MIDDLE SCHOOL,1555 DAPHNE STREET,BROOMFIELD,CO,80020,7205618400,6th Grade,8th Grade,Middle ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
1070,BROOMFIELD HIGH SCHOOL,1 EAGLE WAY,BROOMFIELD,CO,80020,7205618100,9th Grade,12th Grade,High,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
1136,MANHATTAN MIDDLE SCHOOL OF THE ARTS AND ACADEMICS,290 MANHATTAN DRIVE,BOULDER,CO,80303,7205616300,6th Grade,8th Grade,Middle ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
1352,CASEY MIDDLE SCHOOL,1301 HIGH STREET,BOULDER,CO,80304,7205612700,6th Grade,8th Grade,Middle ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
1380,CENTAURUS HIGH SCHOOL,10300 SOUTH BOULDER ROAD,LAFAYETTE,CO,80026,7205617500,9th Grade,12th Grade,High,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
1390,CENTENNIAL MIDDLE SCHOOL,2205 NORWOOD AVENUE,BOULDER,CO,80304,7205615441,6th Grade,8th Grade,Middle ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
1725,COAL CREEK ELEMENTARY SCHOOL,801 WEST TAMARISK STREET,LOUISVILLE,CO,80027,7205614500,1/2 Day Kindergarten,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
1842,COLUMBINE ELEMENTARY SCHOOL,3130 REPPLIER DRIVE,BOULDER,CO,80304,7205612500,Preschool,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
1883,COMMUNITY MONTESSORI SCHOOL,805 GILLASPIE DR,BOULDER,CO,80305,7205613700,Preschool,6th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
1996,CREST VIEW ELEMENTARY SCHOOL,1897 SUMAC AVENUE,BOULDER,CO,80304,7205615461,1/2 Day Kindergarten,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
2240,DOUGLASS ELEMENTARY SCHOOL,840  75TH STREET,BOULDER,CO,80303,7205615541,Preschool,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
2552,EISENHOWER ELEMENTARY SCHOOL,1220 EISENHOWER DRIVE,BOULDER,CO,80303,7205616700,1/2 Day Kindergarten,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
2589,ELDORADO K-8 SCHOOL,3351 SOUTH INDIANA STREET,SUPERIOR,CO,80027,7205614400,1/2 Day Kindergarten,8th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
2702,EMERALD ELEMENTARY SCHOOL,755 W. ELMHURST PLACE,BROOMFIELD,CO,80020,7205618500,Preschool,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
2892,FAIRVIEW HIGH SCHOOL,1515 GREENBRIAR BOULEVARD,BOULDER,CO,80305,7205613100,9th Grade,12th Grade,High,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
2940,FIRESIDE ELEMENTARY SCHOOL,845 WEST DAHLIA,LOUISVILLE,CO,80027,7205617900,Preschool,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
2970,FLATIRONS ELEMENTARY SCHOOL,1150 7TH STREET,BOULDER,CO,80302,7205614600,1/2 Day Kindergarten,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
3022,FOOTHILL ELEMENTARY SCHOOL,1001 HAWTHORNE AVENUE,BOULDER,CO,80304,7205612600,1/2 Day Kindergarten,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
3488,GOLD HILL ELEMENTARY SCHOOL,890 MAIN STREET,GOLD HILL,CO,80302,7205615940,1/2 Day Kindergarten,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
3499,HALCYON SCHOOL (SPECIAL EDUCATION),3100 BUCKNELL COURT,BOULDER,CO,80303,7205614700,6th Grade,12th Grade,High,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
3882,HEATHERWOOD ELEMENTARY SCHOOL,7750 CONCORD DRIVE,BOULDER,CO,80301,7205615586,Preschool,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
3940,HIGH PEAKS ELEMENTARY SCHOOL,3995 EAST AURORA AVENUE,BOULDER,CO,80303,7205616500,Preschool,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
4386,JAMESTOWN ELEMENTARY SCHOOL,111 MESA STREET,JAMESTOWN,CO,80455,7205616020,1/2 Day Kindergarten,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
4496,JUSTICE HIGH CHARTER SCHOOL,805 EXCALIBUR,LAFAYETTE,CO,80026,7209351337,6th Grade,12th Grade,High,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
4792,KOHL ELEMENTARY SCHOOL,1000 WEST 10TH AVENUE,BROOMFIELD,CO,80020,7205618600,Preschool,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
4874,LAFAYETTE ELEMENTARY SCHOOL,101 NORTH BERMONT AVENUE,LAFAYETTE,CO,80026,7205618900,Preschool,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
4878,ANGEVINE MIDDLE SCHOOL,1150 W  SOUTH BOULDER ROAD,LAFAYETTE,CO,80026,7205617100,6th Grade,8th Grade,Middle ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
5302,LOUISVILLE ELEMENTARY SCHOOL,400 HUTCHINSON STREET,LOUISVILLE,CO,80027,7205617200,1/2 Day Kindergarten,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
5306,LOUISVILLE MIDDLE SCHOOL,1341 MAIN STREET,LOUISVILLE,CO,80027,7205617400,6th Grade,8th Grade,Middle ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
5606,CREEKSIDE ELEMENTARY SCHOOL AT MARTIN PARK,3740 MARTIN DRIVE,BOULDER,CO,80305,7205613800,Preschool,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
5617,MAPLETON EARLY CHILDHOOD CENTER,840 MAPLETON AVENUE,BOULDER,CO,80304,7205616200,Preschool,Preschool,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
5838,MESA ELEMENTARY SCHOOL,1575 LEHIGH STREET,BOULDER,CO,80305,7205613000,1/2 Day Kindergarten,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
5999,MONARCH HIGH SCHOOL,329 CAMPUS DRIVE,LOUISVILLE,CO,80027,7205614200,9th Grade,12th Grade,High,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
6000,MONARCH K-8 SCHOOL,263 CAMPUS DRIVE,LOUISVILLE,CO,80027,7205614000,Preschool,8th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
6195,NEW VISTA HIGH SCHOOL,700 20TH STREET,BOULDER,CO,80302,7205618700,9th Grade,12th Grade,High,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
6208,NEDERLAND ELEMENTARY SCHOOL,#1 SUNDOWN TRAIL,NEDERLAND,CO,80466,7205614800,Preschool,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
6212,NEDERLAND MIDDLE-SENIOR HIGH SCHOOL,597 ELDORA ROAD,NEDERLAND,CO,80466,7205614900,6th Grade,12th Grade,High,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
6224,NEVIN PLATT MIDDLE SCHOOL,6096 BASELINE ROAD,BOULDER,CO,80303,7205615536,6th Grade,8th Grade,Middle ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
6642,HORIZONS K-8 SCHOOL,4545 SIOUX DRIVE,BOULDER,CO,80303,7205615580,1/2 Day Kindergarten,8th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
6816,PEAK TO PEAK CHARTER SCHOOL,800 MERLIN DRIVE,LAFAYETTE,CO,80026,3034534600,1/2 Day Kindergarten,12th Grade,High,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
6962,PIONEER BILINGUAL ELEMENTARY SCHOOL,101 E. BASELINE ROAD,LAFAYETTE,CO,80026,7205617800,Preschool,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
7528,RYAN ELEMENTARY SCHOOL,1405 CENTAUR VILLAGE DRIVE,LAFAYETTE,CO,80026,7205617000,Preschool,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
7592,SANCHEZ ELEMENTARY SCHOOL,655 SIR GALAHAD DRIVE,LAFAYETTE,CO,80026,7205617300,Preschool,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
8135,SOUTHERN HILLS MIDDLE SCHOOL,1500 KNOX DRIVE,BOULDER,CO,80305,7205613400,6th Grade,8th Grade,Middle ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
8387,SUMMIT MIDDLE CHARTER SCHOOL,4655 HANOVER AVENUE,BOULDER,CO,80305,7205613900,6th Grade,8th Grade,Middle ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
8418,SUPERIOR ELEMENTARY SCHOOL,1800 SOUTH INDIANA ST.,SUPERIOR,CO,80027,7205614100,1/2 Day Kindergarten,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
8978,UNIVERSITY HILL ELEMENTARY SCHOOL,956  16TH STREET,BOULDER,CO,80302,7205615416,Preschool,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
9544,WHITTIER ELEMENTARY SCHOOL,2008 PINE STREET,BOULDER,CO,80302,7205615431,1/2 Day Kindergarten,5th Grade,Elementary  ,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
1130,BUENA VISTA HIGH SCHOOL,RAILROAD & MARQUETTE,BUENA VISTA,CO,81211,7193957100,9th Grade,12th Grade,High,0490,BUENA VISTA R-31,601 - 1.200,Outlying Town
1132,HARRY L MC GINNIS MIDDLE SCHOOL,SOUTH RAILROAD & MARQUETTE,BUENA VISTA,CO,81211,7193957060,6th Grade,8th Grade,Middle ,0490,BUENA VISTA R-31,601 - 1.200,Outlying Town
1508,CHAFFEE COUNTY HIGH SCHOOL,613 EAST MAIN STREET,BUENA VISTA,CO,81211,7193954064,7th Grade,12th Grade,High,0490,BUENA VISTA R-31,601 - 1.200,Outlying Town
4306,AVERY/PARSONS ELEMENTARY SCHOOL,516 EAST MAIN STREET,BUENA VISTA,CO,81211,7193957020,Preschool,5th Grade,Elementary  ,0490,BUENA VISTA R-31,601 - 1.200,Outlying Town
1554,CREST ACADEMY,220 12TH STREET,SALIDA,CO,81201,7195300681,5th Grade,8th Grade,Middle ,0500,SALIDA R-32,601 - 1.200,Outlying Town
4085,HORIZONS EXPLORATORY ACADEMY,349 E 9th Street,SALIDA,CO,81201,7195305252,9th Grade,12th Grade,High,0500,SALIDA R-32,601 - 1.200,Outlying Town
4680,SALIDA MIDDLE SCHOOL,520 MILFORD STREET,SALIDA,CO,81201,7195305300,5th Grade,8th Grade,Middle ,0500,SALIDA R-32,601 - 1.200,Outlying Town
5268,LONGFELLOW ELEMENTARY SCHOOL,425 WEST 7TH STREET,SALIDA,CO,81201,7195305260,1/2 Day Kindergarten,4th Grade,Elementary  ,0500,SALIDA R-32,601 - 1.200,Outlying Town
7568,SALIDA HIGH SCHOOL,26 JONES AVENUE,SALIDA,CO,81201,7195305400,9th Grade,12th Grade,High,0500,SALIDA R-32,601 - 1.200,Outlying Town
7643,SALIDA EARLY CHILDHOOD CENTER,516 TELLER AVE,SALIDA,CO,81201,7195305237,Preschool,Preschool,Elementary  ,0500,SALIDA R-32,601 - 1.200,Outlying Town
4738,KIT CARSON ELEMENTARY SCHOOL,102  W. 5TH AVENUE,KIT CARSON,CO,80825,7199623219,1/2 Day Kindergarten,5th Grade,Elementary  ,0510,KIT CARSON R-1,300 or less,Rural
4742,KIT CARSON JUNIOR-SENIOR HIGH SCHOOL,102 5TH AVENUE,KIT CARSON,CO,80825,7199623219,6th Grade,12th Grade,High,0510,KIT CARSON R-1,300 or less,Rural
1608,CHEYENNE WELLS ELEMENTARY SCHOOL,395 NORTH 5TH WEST,CHEYENNE WELLS,CO,80810,7197675656,Preschool,6th Grade,Elementary  ,0520,CHEYENNE COUNTY RE-5,301 - 600,Outlying Town
1612,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,325 WEST 4TH NORTH,CHEYENNE WELLS,CO,80810,7197675612,7th Grade,12th Grade,High,0520,CHEYENNE COUNTY RE-5,301 - 600,Outlying Town
1660,CLEAR CREEK MIDDLE SCHOOL,185 BEAVER BROOK CANYON ROAD,EVERGREEN,CO,80439,3036794600,7th Grade,8th Grade,Middle ,0540,CLEAR CREEK RE-1,"1,201 - 6,000",Outlying Town
3385,GEORGETOWN COMMUNITY SCHOOL,504 14TH STREET,GEORGETOWN,CO,80444,3035693277,Preschool,6th Grade,Elementary  ,0540,CLEAR CREEK RE-1,"1,201 - 6,000",Outlying Town
4212,CARLSON ELEMENTARY SCHOOL,1300 MINER STREET,IDAHO SPRINGS,CO,80452,3035674431,Preschool,6th Grade,Elementary  ,0540,CLEAR CREEK RE-1,"1,201 - 6,000",Outlying Town
4216,CLEAR CREEK HIGH SCHOOL,185 BEAVER BROOK CANYON DR.,EVERGREEN,CO,80439,3036794600,9th Grade,12th Grade,High,0540,CLEAR CREEK RE-1,"1,201 - 6,000",Outlying Town
4700,KING-MURPHY ELEMENTARY SCHOOL,425 CIRCLE K ROAD,EVERGREEN,CO,80439,3036700005,Preschool,6th Grade,Elementary  ,0540,CLEAR CREEK RE-1,"1,201 - 6,000",Outlying Town
1276,CENTAURI MIDDLE SCHOOL,17891 US HWY 285,LA JARA,CO,81140,7192744301,6th Grade,8th Grade,Middle ,0550,NORTH CONEJOS RE-1J,"1,201 - 6,000",Rural
1378,CENTAURI HIGH SCHOOL,17889 US HWY 285,LA JARA,CO,81140,7192745178,9th Grade,12th Grade,High,0550,NORTH CONEJOS RE-1J,"1,201 - 6,000",Rural
4836,LA JARA ELEMENTARY SCHOOL,214 POPLAR STREET,LA JARA,CO,81140,7192745791,Preschool,5th Grade,Elementary  ,0550,NORTH CONEJOS RE-1J,"1,201 - 6,000",Rural
5422,MANASSA ELEMENTARY SCHOOL,200 SOUTH 5TH STREET,MANASSA,CO,81141,7198435277,1/2 Day Kindergarten,5th Grade,Elementary  ,0550,NORTH CONEJOS RE-1J,"1,201 - 6,000",Rural
6339,NORTH CONEJOS ALTERNATIVE PROGRAM,635 MAIN STREET,LAJARA,CO,81140,7192744220,1/2 Day Kindergarten,12th Grade,High,0550,NORTH CONEJOS RE-1J,"1,201 - 6,000",Rural
7612,SANFORD ELEMENTARY SCHOOL,755 SECOND STREET,SANFORD,CO,81151,7192745167,Preschool,6th Grade,Elementary  ,0560,SANFORD 6J,301 - 600,Rural
7616,SANFORD JUNIOR/SENIOR HIGH SCHOOL,755 SECOND STREET,SANFORD,CO,81151,7192745167,7th Grade,12th Grade,High,0560,SANFORD 6J,301 - 600,Rural
0248,GUADALUPE ELEMENTARY SCHOOL,900 WEST 8TH STREET,ANTONITO,CO,81120,7193765407,Full Day Kindergarten,5th Grade,Elementary  ,0580,SOUTH CONEJOS RE-10,301 - 600,Rural
0250,ANTONITO MIDDLE SCHOOL,620 PINE STREET,ANTONITO,CO,81120,7193765468,6th Grade,8th Grade,Middle ,0580,SOUTH CONEJOS RE-10,301 - 600,Rural
0252,ANTONITO HIGH SCHOOL,620 PINE STREET,ANTONITO,CO,81120,7193765468,9th Grade,12th Grade,High,0580,SOUTH CONEJOS RE-10,301 - 600,Rural
1398,CENTENNIAL SCHOOL,909 NORTH MAIN STREET,SAN LUIS,CO,81152,7196723322,Preschool,12th Grade,High,0640,CENTENNIAL R-1,301 - 600,Rural
7880,SIERRA GRANDE K-12 SCHOOL,17523 EAST HIGHWAY 160,BLANCA,CO,81123,7193793257,1/2 Day Kindergarten,12th Grade,High,0740,SIERRA GRANDE R-30,300 or less,Rural
2050,CROWLEY COUNTY ELEMENTARY SCHOOL,630 MAIN,ORDWAY,CO,81063,7192673558,1/2 Day Kindergarten,5th Grade,Elementary  ,0770,CROWLEY COUNTY RE-1-J,601 - 1.200,Outlying Town
2054,CROWLEY COUNTY WARD MIDDLE SCHOOL,1001 MAIN,ORDWAY,CO,81063,7192679880,6th Grade,8th Grade,Middle ,0770,CROWLEY COUNTY RE-1-J,601 - 1.200,Outlying Town
2058,CROWLEY COUNTY HIGH SCHOOL,602 MAIN,ORDWAY,CO,81063,7192673582,9th Grade,12th Grade,High,0770,CROWLEY COUNTY RE-1-J,601 - 1.200,Outlying Town
2088,CUSTER COUNTY ELEMENTARY SCHOOL,709 MAIN STREET,WESTCLIFFE,CO,81252,7197832291,Preschool,5th Grade,Elementary  ,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,301 - 600,Rural
2091,CUSTER MIDDLE SCHOOL,709 MAIN STREET,WESTCLIFFE,CO,81252,7197832291,6th Grade,8th Grade,Middle ,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,301 - 600,Rural
2092,CUSTER COUNTY HIGH SCHOOL,709 MAIN STREET,WESTCLIFFE,CO,81252,7197832291,9th Grade,12th Grade,High,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,301 - 600,Rural
0489,BACKPACK EARLY LEARNING ACADEMY,822 GRAND AVENUE,DELTA,CO,81416,9708749517,Preschool,Preschool,Elementary  ,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
1372,CEDAREDGE HIGH SCHOOL,575 SE DEER CREEK DR,CEDAREDGE,CO,81413,9708566882,9th Grade,12th Grade,High,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
1375,CEDAREDGE MIDDLE SCHOOL,845 SE DEER CREEK DRIVE,CEDAREDGE,CO,81413,9708563118,6th Grade,8th Grade,Middle ,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
1952,NORTH FORK MONTESSORI @ CRAWFORD,51 FIR AVE,CRAWFORD,CO,81415,9709214935,Preschool,6th Grade,Elementary  ,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
2152,DELTA ACADEMY OF APPLIED LEARNING,239 E 6TH STREET,DELTA,CO,81416,9708740835,5th Grade,8th Grade,Middle ,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
2155,DELTA COUNTY OPPORTUNITY SCHOOL,822 GRAND AVENUE,DELTA,CO,81416,9708742753,7th Grade,12th Grade,High,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
2160,DELTA MIDDLE SCHOOL,910 GRAND AVENUE,DELTA,CO,81416,9708748046,6th Grade,8th Grade,Middle ,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
2164,DELTA HIGH SCHOOL,1400 PIONEER ROAD,DELTA,CO,81416,9708748031,9th Grade,12th Grade,High,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
2166,DELTA VISION SCHOOL,1080 PIONEER RD,DELTA,CO,81416,9708748226,1/2 Day Kindergarten,12th Grade,High,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
3330,GARNET MESA ELEMENTARY SCHOOL,600 A STREET,DELTA,CO,81416,9708748003,1/2 Day Kindergarten,5th Grade,Elementary  ,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
4124,HOTCHKISS ELEMENTARY SCHOOL,465 LORAH LANE,HOTCHKISS,CO,81419,9708723325,Preschool,8th Grade,Elementary  ,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
4128,HOTCHKISS HIGH SCHOOL,438 BULLDOG ST,HOTCHKISS,CO,81419,9708723882,9th Grade,12th Grade,High,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
4182,CEDAREDGE ELEMENTARY SCHOOL,230 NW CEDAR AVENUE,CEDAREDGE,CO,81413,9708563885,1/2 Day Kindergarten,5th Grade,Elementary  ,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
5154,LINCOLN ELEMENTARY SCHOOL,1050 HASTINGS,DELTA,CO,81416,9708743700,1/2 Day Kindergarten,5th Grade,Elementary  ,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
6700,PAONIA ELEMENTARY SCHOOL,430 BOX ELDER,PAONIA,CO,81428,9705273639,Preschool,6th Grade,Elementary  ,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
6708,PAONIA HIGH SCHOOL,846 GRAND AVENUE,PAONIA,CO,81428,9705274882,7th Grade,12th Grade,High,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
0010,ABRAHAM LINCOLN HIGH SCHOOL,2285 SOUTH FEDERAL BOULEVARD,DENVER,CO,80219,7204235000,9th Grade,12th Grade,High,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0040,RIDGE VIEW ACADEMY CHARTER SCHOOL,28101 EAST QUINCY AVENUE,WATKINS,CO,80137,3037663000,9th Grade,12th Grade,High,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0067,ACADEMY OF URBAN LEARNING,2417 W. 29th Ave,DENVER,CO,80211,3032820900,9th Grade,12th Grade,High,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0099,ACADEMY 360,12505 Elmendorf Pl,DENVER,CO,80239,3035741360,1/2 Day Kindergarten,3rd Grade,Elementary  ,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0220,AMESSE ELEMENTARY SCHOOL,5440 SCRANTON STREET,DENVER,CO,80239,7204249988,Preschool,5th Grade,Elementary  ,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0388,ASBURY ELEMENTARY SCHOOL,1320 EAST ASBURY AVENUE,DENVER,CO,80210,7204249750,1/2 Day Kindergarten,5th Grade,Elementary  ,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0408,VALDEZ ELEMENTARY SCHOOL,2525 WEST 29 AVENUE,DENVER,CO,80211,7204243310,Preschool,5th Grade,Elementary  ,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0418,ASHLEY ELEMENTARY SCHOOL,1914 SYRACUSE STREET,DENVER,CO,80220,7204249748,Preschool,5th Grade,Elementary  ,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0520,BARNUM ELEMENTARY SCHOOL,85 HOOKER STREET,DENVER,CO,80219,7204249590,Preschool,5th Grade,Elementary  ,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0540,BARRETT ELEMENTARY SCHOOL,2900 RICHARD ALLEN COURT,DENVER,CO,80205,7204249530,Preschool,5th Grade,Elementary  ,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0650,BEACH COURT ELEMENTARY SCHOOL,4950 BEACH COURT,DENVER,CO,80221,7204249470,Preschool,5th Grade,Elementary  ,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0964,BRADLEY INTERNATIONAL SCHOOL,3051 SOUTH ELM STREET,DENVER,CO,80222,7204249468,Preschool,5th Grade,Elementary  ,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
